"Date","alp.pred","tl.pred","btl.pred","alp.ob","tl.ob","btl.ob","p1.pred","p2.pred","p3.pred","ac.pred","p1.ob","p2.ob"
1970-01-01,3,3,2,,,,"PS","SS","","",,
1970-01-01,4,4,4,,,,"PS","SS","","",,
1970-01-01,,,,,,,"","","","",,
2008-12-03,,,,,,,"","",,,,
2008-12-04,,,,,,,"","",,,,
2008-12-05,,,,,,,"","",,,,
2008-12-06,,,,,,,"","",,,,
2008-12-07,,,,,,,"","",,,,
2008-12-10,,,,,,,"","",,,,
2008-12-11,,,,,,,"","",,,,
2008-12-12,,,,,,,"","",,,,
2008-12-13,,,,,,,"","",,,,
2008-12-14,,,,,,,"","",,,,
2008-12-17,,,,,,,"","",,,,
2008-12-18,,,,,,,"","",,,,
2008-12-19,,,,,,,"","",,,,
2008-12-20,,,,,,,"","",,,,
2008-12-21,,,,,,,"","",,,,
2008-12-24,,,,,,,"","",,,,
2008-12-25,,,,,,,"","",,,,
2008-12-26,,,,,,,"","",,,,
2008-12-27,,,,,,,"","",,,,
2008-12-28,,,,,,,"","",,,,
2008-12-31,,,,,,,"","",,,,
2009-01-01,,,,,,,"","",,,,
2009-01-02,,,,,,,"","",,,,
2009-01-03,,,,,,,"","",,,,
2009-01-04,,,,,,,"","",,,,
2009-01-07,,,,,,,"","",,,,
2009-01-08,,,,,,,"","",,,,
2009-01-09,,,,,,,"","",,,,
2009-01-10,,,,,,,"","",,,,
2009-01-11,,,,,,,"","",,,,
2009-01-14,,,,,,,"","",,,,
2009-01-15,,,,,,,"","",,,,
2009-01-17,,,,,,,"","",,,,
2009-01-18,,,,,,,"","",,,,
2009-01-21,,,,,,,"","",,,,
2009-01-22,,,,,,,"","",,,,
2009-01-23,,,,,,,"","",,,,
2009-01-24,,,,,,,"","",,,,
2009-01-25,,,,,,,"","",,,,
2009-01-28,,,,,,,"","",,,,
2009-01-29,,,,,,,"","",,,,
2009-01-30,,,,,,,"","",,,,
2009-01-31,,,,,,,"","",,,,
2009-02-01,,,,,,,"","",,,,
2009-02-04,,,,,,,"","",,,,
2009-02-05,,,,,,,"","",,,,
2009-02-06,,,,,,,"","",,,,
2009-02-07,,,,,,,"","",,,,
2009-02-08,,,,,,,"","",,,,
2009-02-11,,,,,,,"","",,,,
2009-02-12,,,,,,,"","",,,,
2009-02-13,,,,,,,"","",,,,
2009-02-14,,,,,,,"","",,,,
2009-02-15,,,,,,,"","",,,,
2009-02-19,,,,,,,"","",,,,
2009-02-20,,,,,,,"","",,,,
2009-02-21,,,,,,,"","",,,,
2009-02-22,,,,,,,"","",,,,
2009-02-25,,,,,,,"","",,,,
2009-02-26,,,,,,,"","",,,,
2009-02-27,,,,,,,"","",,,,
2009-02-28,,,,,,,"","",,,,
2009-03-01,,,,,,,"","",,,,
2009-03-04,,,,,,,"","",,,,
2009-03-05,,,,,,,"","",,,,
2009-03-06,,,,,,,"","",,,,
2009-03-07,,,,,,,"","",,,,
2009-03-08,,,,,,,"","",,,,
2009-03-11,,,,,,,"","",,,,
2009-03-12,,,,,,,"","",,,,
2009-03-13,,,,,,,"","",,,,
2009-03-14,,,,,,,"","",,,,
2009-03-15,,,,,,,"","",,,,
2009-03-18,,,,,,,"","",,,,
2009-03-19,,,,,,,"","",,,,
2009-03-20,,,,,,,"","",,,,
2009-03-21,,,,,,,"","",,,,
2009-03-22,,,,,,,"","",,,,
2009-03-25,,,,,,,"","",,,,
2009-03-28,,,,,,,"","",,,,
2009-03-29,,,,,,,"","",,,,
2009-04-03,,,,,,,"","",,,,
2009-04-10,,,,,,,"","",,,,
2009-04-22,,,,,,,"","",,,,
2009-05-08,,,,,,,"","",,,,
2009-07-24,,,,,,,"","",,,,
2009-11-06,,,,,,,"","",,,,
2009-11-12,,,,,,,"","",,,,
2009-11-19,,,,,,,"","",,,,
2009-11-23,,,,,,,"","",,,,
2009-11-25,,,,,,,"","",,,,
2009-11-26,,,,,,,"","",,,,
2009-11-27,,,,,,,"","",,,,
2009-11-28,,,,,,,"","",,,,
2009-11-29,,,,,,,"","",,,,
2009-11-30,,,,,,,"","",,,,
2009-12-01,,,,,,,"","",,,,
2009-12-02,,,,,,,"","",,,,
2009-12-03,,,,,,,"","",,,,
2009-12-04,,,,,,,"","",,,,
2009-12-05,,,,,,,"","",,,,
2009-12-06,,,,,,,"","",,,,
2009-12-07,,,,,,,"","",,,,
2009-12-08,,,,,,,"","",,,,
2009-12-09,,,,,,,"","",,,,
2009-12-10,,,,,,,"","",,,,
2009-12-11,,,,,,,"","",,,,
2009-12-12,,,,,,,"","",,,,
2009-12-13,,,,,,,"","",,,,
2009-12-14,,,,,,,"","",,,,
2009-12-15,,,,,,,"","",,,,
2009-12-16,,,,,,,"","",,,,
2009-12-17,,,,,,,"","",,,,
2009-12-18,,,,,,,"","",,,,
2009-12-19,,,,,,,"","",,,,
2009-12-20,3,3,3,,,,"","",,,,
2009-12-21,3,3,3,,,,"","",,,,
2009-12-22,3,3,3,,,,"","",,,,
2009-12-23,3,3,3,,,,"","",,,,
2009-12-24,3,3,3,,,,"","",,,,
2009-12-25,3,3,3,,,,"","",,,,
2009-12-26,2,2,2,,,,"","",,,,
2009-12-27,2,2,2,,,,"","",,,,
2009-12-28,2,2,2,,,,"","",,,,
2009-12-29,1,1,1,,,,"","",,,,
2009-12-30,1,1,1,,,,"","",,,,
2009-12-31,1,1,1,,,,"","",,,,
2010-01-01,1,1,1,,,,"","",,,,
2010-01-02,1,1,1,,,,"","",,,,
2010-01-03,1,1,1,,,,"","",,,,
2010-01-04,2,2,2,,,,"","",,,,
2010-01-05,1,1,1,,,,"","",,,,
2010-01-06,2,2,2,,,,"","",,,,
2010-01-07,2,2,2,,,,"","",,,,
2010-01-08,2,2,2,,,,"","",,,,
2010-01-09,2,2,2,,,,"","",,,,
2010-01-10,1,1,1,,,,"","",,,,
2010-01-11,1,1,1,,,,"","",,,,
2010-01-12,1,1,1,,,,"","",,,,
2010-01-13,1,1,1,,,,"","",,,,
2010-01-14,1,1,1,,,,"","",,,,
2010-01-15,1,1,1,,,,"","",,,,
2010-01-16,2,2,2,,,,"","",,,,
2010-01-17,3,3,3,,,,"","",,,,
2010-01-18,3,3,3,,,,"","",,,,
2010-01-19,2,2,2,,,,"","",,,,
2010-01-20,2,2,2,,,,"","",,,,
2010-01-21,2,2,2,,,,"","",,,,
2010-01-22,2,2,2,,,,"","",,,,
2010-01-23,2,2,2,,,,"","",,,,
2010-01-24,1,1,1,,,,"","",,,,
2010-01-25,1,1,1,,,,"","",,,,
2010-01-26,1,1,1,,,,"","",,,,
2010-01-27,1,1,1,,,,"","",,,,
2010-01-28,2,2,2,,,,"","",,,,
2010-01-29,2,2,2,,,,"","",,,,
2010-01-30,2,2,2,,,,"","",,,,
2010-01-31,1,1,1,,,,"","",,,,
2010-02-01,1,1,1,,,,"","",,,,
2010-02-02,1,1,1,,,,"","",,,,
2010-02-03,1,1,1,,,,"","",,,,
2010-02-04,1,1,1,,,,"","",,,,
2010-02-05,1,1,1,,,,"","",,,,
2010-02-06,4,4,4,,,,"","",,,,
2010-02-07,3,3,3,,,,"","",,,,
2010-02-08,2,2,2,,,,"","",,,,
2010-02-09,3,3,3,,,,"","",,,,
2010-02-10,3,3,3,,,,"","",,,,
2010-02-11,3,3,3,,,,"","",,,,
2010-02-12,2,2,2,,,,"","",,,,
2010-02-13,2,2,2,,,,"","",,,,
2010-02-14,3,3,3,,,,"","",,,,
2010-02-15,4,4,4,,,,"","",,,,
2010-02-16,4,4,4,,,,"","",,,,
2010-02-17,4,4,4,,,,"","",,,,
2010-02-18,5,5,5,,,,"","",,,,
2010-02-19,4,4,4,,,,"","",,,,
2010-02-20,4,4,4,,,,"","",,,,
2010-02-21,3,3,3,,,,"","",,,,
2010-02-22,3,3,3,,,,"","",,,,
2010-02-23,2,2,2,,,,"","",,,,
2010-02-24,1,1,1,,,,"","",,,,
2010-02-25,2,2,2,,,,"","",,,,
2010-02-26,2,2,2,,,,"","",,,,
2010-02-27,2,2,2,,,,"","",,,,
2010-02-28,3,3,3,,,,"","",,,,
2010-03-01,3,3,3,,,,"","",,,,
2010-03-02,3,3,3,,,,"","",,,,
2010-03-03,3,3,3,,,,"","",,,,
2010-03-04,3,3,3,,,,"","",,,,
2010-03-05,4,4,4,,,,"","",,,,
2010-03-06,3,3,3,,,,"","",,,,
2010-03-07,2,2,2,,,,"","",,,,
2010-03-08,4,4,4,,,,"","",,,,
2010-03-09,3,3,3,,,,"","",,,,
2010-03-10,3,3,3,,,,"","",,,,
2010-03-11,2,2,2,,,,"","",,,,
2010-03-12,2,2,2,,,,"","",,,,
2010-03-13,2,2,2,,,,"","","","",,
2010-03-14,2,2,2,,,,"","",,,,
2010-03-15,2,2,2,,,,"","",,,,
2010-03-16,2,2,2,,,,"","",,,,
2010-03-17,2,2,2,,,,"","",,,,
2010-03-18,2,2,2,,,,"","",,,,
2010-03-19,3,3,3,,,,"","",,,,
2010-03-20,3,3,3,,,,"","",,,,
2010-03-21,3,3,3,,,,"","",,,,
2010-03-22,2,2,2,,,,"","",,,,
2010-03-23,2,2,2,,,,"","",,,,
2010-03-24,2,2,2,,,,"","",,,,
2010-03-25,2,2,2,,,,"","",,,,
2010-03-26,2,2,2,,,,"","",,,,
2010-03-27,2,2,2,,,,"","",,,,
2010-03-28,3,3,3,,,,"","",,,,
2010-03-29,3,3,3,,,,"","",,,,
2010-03-30,3,3,3,,,,"","",,,,
2010-03-31,3,3,3,,,,"","",,,,
2010-04-01,3,3,3,,,,"","",,,,
2010-04-02,2,2,2,,,,"","",,,,
2010-04-03,2,2,2,,,,"","",,,,
2010-04-04,2,2,2,,,,"","",,,,
2010-04-05,3,3,3,,,,"","",,,,
2010-04-06,3,3,3,,,,"","",,,,
2010-04-07,2,2,2,,,,"","",,,,
2010-04-08,2,2,2,,,,"","",,,,
2010-04-09,2,2,2,,,,"","",,,,
2010-04-10,2,2,2,,,,"","",,,,
2010-04-11,2,2,2,,,,"","",,,,
2010-04-12,2,2,2,,,,"","",,,,
2010-04-13,2,2,2,,,,"","",,,,
2010-04-14,1,1,1,,,,"","",,,,
2010-04-15,,,,,,,"","",,,,
2010-10-29,,,,,,,"","",,,,
2010-11-08,,,,,,,"","",,,,
2010-11-10,,,,,,,"","",,,,
2010-11-12,1,1,1,,,,"","",,,,
2010-11-13,1,1,1,,,,"","",,,,
2010-11-14,1,1,1,,,,"","",,,,
2010-11-15,1,1,1,,,,"","",,,,
2010-11-16,1,1,1,,,,"","",,,,
2010-11-17,1,1,1,,,,"","",,,,
2010-11-18,1,1,1,,,,"","",,,,
2010-11-19,1,1,1,,,,"","",,,,
2010-11-20,1,1,1,,,,"","",,,,
2010-11-21,1,1,1,,,,"","",,,,
2010-11-22,2,2,2,,,,"","",,,,
2010-11-23,2,2,2,,,,"","",,,,
2010-11-24,2,2,2,,,,"","",,,,
2010-11-25,2,2,2,,,,"","",,,,
2010-11-26,2,2,2,,,,"","",,,,
2010-11-27,1,1,1,,,,"","",,,,
2010-11-28,2,2,2,,,,"","",,,,
2010-11-29,2,2,2,,,,"","",,,,
2010-11-30,2,2,2,,,,"","",,,,
2010-12-01,1,1,1,,,,"","",,,,
2010-12-02,1,1,1,,,,"","",,,,
2010-12-03,3,3,3,,,,"","",,,,
2010-12-04,3,3,3,,,,"","",,,,
2010-12-05,3,3,3,,,,"","",,,,
2010-12-06,2,2,2,,,,"","",,,,
2010-12-07,2,2,2,,,,"","",,,,
2010-12-08,2,2,2,,,,"","",,,,
2010-12-09,2,2,2,,,,"","",,,,
2010-12-10,2,2,2,,,,"","",,,,
2010-12-11,2,2,2,,,,"","",,,,
2010-12-12,2,2,2,,,,"","",,,,
2010-12-13,2,2,2,,,,"","",,,,
2010-12-14,2,2,2,,,,"","",,,,
2010-12-15,2,2,2,,,,"","",,,,
2010-12-16,2,2,2,,,,"","",,,,
2010-12-17,2,2,2,,,,"","",,,,
2010-12-18,2,2,2,,,,"","",,,,
2010-12-19,2,2,2,,,,"","",,,,
2010-12-20,2,2,2,,,,"","",,,,
2010-12-21,1,1,1,,,,"","",,,,
2010-12-22,1,1,1,,,,"","",,,,
2010-12-23,1,1,1,,,,"","",,,,
2010-12-24,1,1,1,,,,"","",,,,
2010-12-25,1,1,1,,,,"","",,,,
2010-12-26,1,1,1,,,,"","",,,,
2010-12-27,1,1,1,,,,"","",,,,
2010-12-28,1,1,1,,,,"","",,,,
2010-12-29,1,1,1,,,,"","",,,,
2010-12-30,3,3,3,,,,"","",,,,
2010-12-31,3,3,3,,,,"","",,,,
2011-01-01,2,2,2,,,,"","",,,,
2011-01-02,3,3,3,,,,"","",,,,
2011-01-03,4,4,4,,,,"","",,,,
2011-01-04,3,3,3,,,,"","",,,,
2011-01-05,3,3,3,,,,"","",,,,
2011-01-06,3,3,3,,,,"","",,,,
2011-01-07,3,3,3,,,,"","",,,,
2011-01-08,3,3,3,,,,"","",,,,
2011-01-09,3,3,3,,,,"","",,,,
2011-01-10,2,2,2,,,,"","",,,,
2011-01-11,2,2,2,,,,"","",,,,
2011-01-12,2,2,2,,,,"","",,,,
2011-01-13,2,2,2,,,,"","",,,,
2011-01-14,2,2,2,,,,"","",,,,
2011-01-15,2,2,2,,,,"","",,,,
2011-01-16,2,2,2,,,,"","",,,,
2011-01-17,2,2,2,,,,"","",,,,
2011-01-18,2,2,2,,,,"","",,,,
2011-01-19,2,2,2,,,,"","",,,,
2011-01-20,2,2,2,,,,"","",,,,
2011-01-21,2,2,2,,,,"","",,,,
2011-01-22,2,2,2,,,,"","",,,,
2011-01-23,3,3,3,,,,"","",,,,
2011-01-24,3,3,3,,,,"","",,,,
2011-01-25,3,3,3,,,,"","",,,,
2011-01-26,2,2,2,,,,"","",,,,
2011-01-27,2,2,2,,,,"","",,,,
2011-01-28,2,2,2,,,,"","",,,,
2011-01-29,2,2,2,,,,"","",,,,
2011-01-30,2,2,2,,,,"","",,,,
2011-01-31,3,3,3,,,,"","","","",,
2011-02-01,3,3,3,,,,"","","","",,
2011-02-02,3,3,3,,,,"","",,,,
2011-02-03,3,3,3,,,,"","",,,,
2011-02-04,2,2,2,,,,"","",,,,
2011-02-05,2,2,2,,,,"","",,,,
2011-02-06,2,2,2,,,,"","",,,,
2011-02-07,2,2,2,,,,"","",,,,
2011-02-08,3,3,3,,,,"","",,,,
2011-02-09,3,3,3,,,,"","",,,,
2011-02-10,2,2,2,,,,"","",,,,
2011-02-11,2,2,2,,,,"","",,,,
2011-02-12,2,2,2,,,,"","",,,,
2011-02-13,2,2,2,,,,"","",,,,
2011-02-14,2,2,2,,,,"","",,,,
2011-02-15,2,2,2,,,,"","",,,,
2011-02-16,2,2,2,,,,"","",,,,
2011-02-18,2,2,2,,,,"","",,,,
2011-02-19,2,2,2,,,,"","",,,,
2011-02-20,2,2,2,,,,"","",,,,
2011-02-21,2,2,2,,,,"","",,,,
2011-02-22,2,2,2,,,,"","",,,,
2011-02-23,2,2,2,,,,"","",,,,
2011-02-24,2,2,2,,,,"","",,,,
2011-02-25,2,2,2,,,,"","",,,,
2011-02-26,2,2,2,,,,"","",,,,
2011-02-27,2,2,2,,,,"","",,,,
2011-02-28,2,2,2,,,,"","",,,,
2011-03-01,2,2,2,,,,"","",,,,
2011-03-02,2,2,2,,,,"","",,,,
2011-03-03,1,1,1,,,,"","",,,,
2011-03-04,1,1,1,,,,"","",,,,
2011-03-05,1,1,1,,,,"","",,,,
2011-03-06,1,1,1,,,,"","",,,,
2011-03-07,1,1,1,,,,"","",,,,
2011-03-08,1,1,1,,,,"","",,,,
2011-03-09,1,1,1,,,,"","",,,,
2011-03-10,1,1,1,,,,"","",,,,
2011-03-11,1,1,1,,,,"","",,,,
2011-03-12,1,1,1,,,,"","",,,,
2011-03-13,1,1,1,,,,"","",,,,
2011-03-14,1,1,1,,,,"","",,,,
2011-03-15,1,1,1,,,,"","",,,,
2011-03-16,1,1,1,,,,"","",,,,
2011-03-17,1,1,1,,,,"","",,,,
2011-03-18,1,1,1,,,,"","",,,,
2011-03-19,1,1,1,,,,"","",,,,
2011-03-20,1,1,1,,,,"","",,,,
2011-03-21,1,1,1,,,,"","",,,,
2011-03-22,1,1,1,,,,"","",,,,
2011-03-23,1,1,1,,,,"","",,,,
2011-03-24,1,1,1,,,,"","",,,,
2011-03-25,2,2,2,,,,"","",,,,
2011-03-26,1,1,1,,,,"","",,,,
2011-03-27,1,1,1,,,,"","",,,,
2011-03-28,1,1,1,,,,"","",,,,
2011-03-29,3,3,3,,,,"","",,,,
2011-03-30,3,3,3,,,,"","",,,,
2011-03-31,2,2,2,,,,"","",,,,
2011-04-01,2,2,2,,,,"","",,,,
2011-04-02,2,2,2,,,,"","",,,,
2011-04-03,3,3,3,,,,"","",,,,
2011-04-04,3,3,3,,,,"","",,,,
2011-04-05,2,2,2,,,,"","",,,,
2011-04-06,2,2,2,,,,"","",,,,
2011-04-07,4,4,4,,,,"","",,,,
2011-04-08,3,3,3,,,,"","",,,,
2011-04-09,2,2,2,,,,"","",,,,
2011-04-10,2,2,2,,,,"","",,,,
2011-04-11,2,2,2,,,,"","",,,,
2011-04-12,1,1,1,,,,"","",,,,
2011-04-13,1,1,1,,,,"","",,,,
2011-04-14,2,2,2,,,,"","",,,,
2011-04-15,2,2,2,,,,"","",,,,
2011-04-16,2,2,2,,,,"","",,,,
2011-04-17,,,,,,,"","",,,,
2011-04-21,,,,,,,"","",,,,
2011-04-23,,,,,,,"","",,,,
2011-04-28,,,,,,,"","",,,,
2011-05-01,,,,,,,"","",,,,
2011-06-06,,,,,,,"","",,,,
2011-10-25,,,,,,,"","",,,,
2011-10-28,,,,,,,"","",,,,
2011-11-02,,,,,,,"","",,,,
2011-11-05,,,,,,,"","",,,,
2011-11-09,,,,,,,"","",,,,
2011-11-12,2,2,2,,,,"","",,,,
2011-11-13,2,2,2,,,,"","",,,,
2011-11-14,,,,,,,"","",,,,
2011-11-16,,,,,,,"","",,,,
2011-11-18,1,1,1,,,,"","",,,,
2011-11-19,1,1,1,,,,"","",,,,
2011-11-20,1,1,1,,,,"","",,,,
2011-11-21,,,,,,,"","",,,,
2011-11-23,2,2,2,,,,"","",,,,
2011-11-24,1,1,1,,,,"","",,,,
2011-11-25,1,1,1,,,,"","",,,,
2011-11-26,2,2,2,,,,"","",,,,
2011-11-27,2,2,2,,,,"","",,,,
2011-11-28,,,,,,,"","",,,,
2011-11-30,2,2,2,,,,"","",,,,
2011-12-01,,,,,,,"","",,,,
2011-12-02,2,2,2,,,,"","",,,,
2011-12-03,3,3,3,,,,"","",,,,
2011-12-04,4,4,4,,,,"","",,,,
2011-12-05,3,3,3,,,,"","",,,,
2011-12-07,2,2,2,,,,"","",,,,
2011-12-09,2,2,2,,,,"","",,,,
2011-12-10,2,2,2,,,,"","",,,,
2011-12-11,3,3,3,,,,"","",,,,
2011-12-12,3,3,3,,,,"","",,,,
2011-12-14,2,2,2,,,,"","",,,,
2011-12-16,2,2,2,,,,"","",,,,
2011-12-17,2,2,2,,,,"","",,,,
2011-12-18,3,3,3,,,,"","",,,,
2011-12-19,3,3,3,,,,"","",,,,
2011-12-21,3,3,3,,,,"","",,,,
2011-12-22,2,2,2,,,,"","",,,,
2011-12-23,2,2,2,,,,"","",,,,
2011-12-24,1,1,1,,,,"","",,,,
2011-12-25,2,2,2,,,,"","",,,,
2011-12-26,2,2,2,,,,"","",,,,
2011-12-27,2,2,2,,,,"","",,,,
2011-12-28,2,2,2,,,,"","",,,,
2011-12-29,2,2,2,,,,"","",,,,
2011-12-30,1,1,1,,,,"","",,,,
2011-12-31,1,1,1,,,,"","",,,,
2012-01-01,1,1,1,,,,"","",,,,
2012-01-02,1,1,1,,,,"","",,,,
2012-01-03,1,1,1,,,,"","",,,,
2012-01-04,1,1,1,,,,"","",,,,
2012-01-05,2,2,2,,,,"","",,,,
2012-01-06,2,2,2,,,,"","",,,,
2012-01-07,2,2,2,,,,"","",,,,
2012-01-08,3,3,3,,,,"","",,,,
2012-01-09,2,2,2,,,,"","",,,,
2012-01-10,3,3,3,,,,"","",,,,
2012-01-11,3,3,3,,,,"","",,,,
2012-01-12,3,3,3,,,,"","",,,,
2012-01-13,2,2,2,,,,"","",,,,
2012-01-14,2,2,2,,,,"","",,,,
2012-01-15,2,2,2,,,,"","",,,,
2012-01-16,2,2,2,,,,"","",,,,
2012-01-17,1,1,1,,,,"","",,,,
2012-01-18,1,1,1,,,,"","",,,,
2012-01-19,1,1,1,,,,"","",,,,
2012-01-20,1,1,1,,,,"","",,,,
2012-01-21,1,1,1,,,,"","",,,,
2012-01-22,3,3,3,,,,"","",,,,
2012-01-23,3,3,3,,,,"","",,,,
2012-01-24,2,2,2,,,,"","",,,,
2012-01-25,2,2,2,,,,"","",,,,
2012-01-26,2,2,2,,,,"","",,,,
2012-01-27,2,2,2,,,,"","",,,,
2012-01-28,1,1,1,,,,"","",,,,
2012-01-29,1,1,1,,,,"","",,,,
2012-01-31,1,1,1,,,,"","",,,,
2012-02-01,4,4,4,,,,"","",,,,
2012-02-02,3,3,3,,,,"","",,,,
2012-02-03,3,3,3,,,,"","",,,,
2012-02-04,3,3,3,,,,"","",,,,
2012-02-05,3,3,3,,,,"","",,,,
2012-02-06,3,3,3,,,,"","",,,,
2012-02-07,2,2,2,,,,"","",,,,
2012-02-08,3,3,3,,,,"","",,,,
2012-02-09,3,3,3,,,,"","",,,,
2012-02-10,3,3,3,,,,"","",,,,
2012-02-11,3,3,3,,,,"","",,,,
2012-02-12,3,3,3,,,,"","",,,,
2012-02-13,4,4,4,,,,"","",,,,
2012-02-14,3,3,3,,,,"","",,,,
2012-02-15,3,3,3,,,,"","",,,,
2012-02-16,3,3,3,,,,"","",,,,
2012-02-18,2,2,2,,,,"","",,,,
2012-02-19,2,2,2,,,,"","",,,,
2012-02-20,3,3,3,,,,"","",,,,
2012-02-21,2,2,2,,,,"","",,,,
2012-02-22,2,2,2,,,,"","",,,,
2012-02-23,1,1,1,,,,"","",,,,
2012-02-24,1,1,1,,,,"","",,,,
2012-02-25,1,1,1,,,,"","",,,,
2012-02-26,3,3,3,,,,"","",,,,
2012-02-27,3,3,3,,,,"","",,,,
2012-02-28,2,2,2,,,,"","",,,,
2012-02-29,1,1,1,,,,"","",,,,
2012-03-01,3,3,3,,,,"","",,,,
2012-03-02,2,2,2,,,,"","",,,,
2012-03-03,2,2,2,,,,"","",,,,
2012-03-04,1,1,1,,,,"","",,,,
2012-03-05,2,2,2,,,,"","",,,,
2012-03-06,2,2,2,,,,"","",,,,
2012-03-07,1,1,1,,,,"","",,,,
2012-03-08,1,1,1,,,,"","",,,,
2012-03-09,1,1,1,,,,"","",,,,
2012-03-10,1,1,1,,,,"","",,,,
2012-03-11,1,1,1,,,,"","",,,,
2012-03-12,1,1,1,,,,"","",,,,
2012-03-13,1,1,1,,,,"","",,,,
2012-03-14,3,3,3,,,,"","",,,,
2012-03-15,3,3,3,,,,"","",,,,
2012-03-16,2,2,2,,,,"","",,,,
2012-03-17,2,2,2,,,,"","",,,,
2012-03-18,2,2,2,,,,"","",,,,
2012-03-19,2,2,2,,,,"","",,,,
2012-03-20,2,2,2,,,,"","",,,,
2012-03-21,2,2,2,,,,"","",,,,
2012-03-22,2,2,2,,,,"","",,,,
2012-03-23,2,2,2,,,,"","",,,,
2012-03-24,2,2,2,,,,"","",,,,
